video,frame_idx,size_bytes
13745021_720_1280_30fps.mp4.txt,1,29615
13745021_720_1280_30fps.mp4.txt,251,30893
13745021_720_1280_30fps.mp4.txt,501,21031
4513020-hd_1366_720_24fps.mp4.txt,1,1937
4513020-hd_1366_720_24fps.mp4.txt,74,17778
4513020-hd_1366_720_24fps.mp4.txt,146,11788
4513020-hd_1366_720_24fps.mp4.txt,219,1345
4513020-hd_1366_720_24fps.mp4.txt,292,3015
sample_640x360.flv.txt,1,32636
sample_640x360.flv.txt,13,20172
sample_640x360.flv.txt,25,19590
sample_640x360.flv.txt,37,16874
sample_640x360.flv.txt,49,14676
sample_640x360.flv.txt,61,14724
sample_640x360.flv.txt,73,14674
sample_640x360.flv.txt,85,14715
sample_640x360.flv.txt,97,13619
sample_640x360.flv.txt,109,13537
sample_640x360.flv.txt,121,13594
sample_640x360.flv.txt,133,12469
sample_640x360.flv.txt,145,12404
sample_640x360.flv.txt,157,12388
sample_640x360.flv.txt,169,12355
sample_640x360.flv.txt,181,11599
sample_640x360.flv.txt,193,11580
sample_640x360.flv.txt,205,11415
sample_640x360.flv.txt,217,11411
sample_640x360.flv.txt,229,10543
sample_640x360.flv.txt,241,10499
sample_640x360.flv.txt,253,9904
sample_640x360.flv.txt,265,11028
sample_640x360.flv.txt,277,10318
sample_640x360.flv.txt,289,9663
sample_640x360.flv.txt,301,9638
sample_640x360.flv.txt,313,9545
sample_640x360.flv.txt,325,9046
sample_640x360.flv.txt,337,8562
sample_640x360.flv.txt,349,8869
sample_640x360.flv.txt,361,8963
sample_640x360.flv.txt,373,9375
sample_640x360.flv.txt,385,9871
sample_640x360.flv.txt,397,10431
12805491_1280_720_25fps.mp4.txt,1,4472
12805491_1280_720_25fps.mp4.txt,251,3886
12146645_1280_720_30fps.mp4.txt,1,11872
SampleVideo_720x480_10mb.mkv.txt,1,31902
SampleVideo_720x480_10mb.mkv.txt,301,34138
SampleVideo_720x480_10mb.mkv.txt,601,53918
SampleVideo_720x480_10mb.mkv.txt,785,17799
SampleVideo_720x480_10mb.mkv.txt,1085,44073
SampleVideo_720x480_10mb.mkv.txt,1385,18248
SampleVideo_720x480_10mb.mkv.txt,1685,63270
13247014_1280_720_24fps.mp4.txt,1,5063
13247014_1280_720_24fps.mp4.txt,251,2072
13247014_1280_720_24fps.mp4.txt,501,2254
13793490_1920_1080_30fps.mp4.txt,1,11887
7505643-uhd_2160_3840_30fps.mp4.txt,1,43583
7505643-uhd_2160_3840_30fps.mp4.txt,92,30269
7505643-uhd_2160_3840_30fps.mp4.txt,183,27075
7505643-uhd_2160_3840_30fps.mp4.txt,274,27340
7505643-uhd_2160_3840_30fps.mp4.txt,365,27262
13704310_720_1280_30fps.mp4.txt,1,5754
13704310_720_1280_30fps.mp4.txt,251,9132
13798912_1920_1080_30fps.mp4.txt,1,109092
13798912_1920_1080_30fps.mp4.txt,251,90563
12154555_360_640_30fps.mp4.txt,1,75
SampleVideo_320x240_30mb.3gp.txt,1,9536
SampleVideo_320x240_30mb.3gp.txt,13,16006
SampleVideo_320x240_30mb.3gp.txt,25,20531
SampleVideo_320x240_30mb.3gp.txt,37,19598
SampleVideo_320x240_30mb.3gp.txt,49,13124
SampleVideo_320x240_30mb.3gp.txt,61,10572
SampleVideo_320x240_30mb.3gp.txt,73,10821
SampleVideo_320x240_30mb.3gp.txt,85,11242
SampleVideo_320x240_30mb.3gp.txt,97,14385
SampleVideo_320x240_30mb.3gp.txt,109,20028
SampleVideo_320x240_30mb.3gp.txt,121,20422
SampleVideo_320x240_30mb.3gp.txt,133,20792
SampleVideo_320x240_30mb.3gp.txt,145,21161
SampleVideo_320x240_30mb.3gp.txt,157,15941
SampleVideo_320x240_30mb.3gp.txt,169,16031
SampleVideo_320x240_30mb.3gp.txt,181,15645
SampleVideo_320x240_30mb.3gp.txt,193,12048
SampleVideo_320x240_30mb.3gp.txt,205,11227
SampleVideo_320x240_30mb.3gp.txt,217,11396
SampleVideo_320x240_30mb.3gp.txt,229,6076
SampleVideo_320x240_30mb.3gp.txt,241,8528
SampleVideo_320x240_30mb.3gp.txt,253,9071
SampleVideo_320x240_30mb.3gp.txt,265,9493
SampleVideo_320x240_30mb.3gp.txt,277,10119
SampleVideo_320x240_30mb.3gp.txt,289,10596
SampleVideo_320x240_30mb.3gp.txt,301,10581
SampleVideo_320x240_30mb.3gp.txt,313,10456
SampleVideo_320x240_30mb.3gp.txt,325,10460
SampleVideo_320x240_30mb.3gp.txt,337,10497
SampleVideo_320x240_30mb.3gp.txt,349,12137
SampleVideo_320x240_30mb.3gp.txt,361,12153
SampleVideo_320x240_30mb.3gp.txt,373,12084
SampleVideo_320x240_30mb.3gp.txt,385,12168
SampleVideo_320x240_30mb.3gp.txt,397,12299
SampleVideo_320x240_30mb.3gp.txt,409,12468
SampleVideo_320x240_30mb.3gp.txt,421,20042
SampleVideo_320x240_30mb.3gp.txt,433,21447
SampleVideo_320x240_30mb.3gp.txt,445,21431
