print meta info for videos/SampleVideo_640x360_2mb.mkv:
  duration time: 17.12 秒
  file size: 2.00 MB
  frame rate: 25.00 fps
  decoder: H.264 / AVC / MPEG-4 AVC / MPEG-4 part 10

帧类型与大小统计:
frame #262: size before decode=1035 bytes, size after decode=460800 bytes, type=P, timestamp=8.160 seconds
frame #263: size before decode=1024 bytes, size after decode=460800 bytes, type=P, timestamp=8.200 seconds
frame #264: size before decode=1174 bytes, size after decode=460800 bytes, type=P, timestamp=8.240 seconds
frame #265: size before decode=1095 bytes, size after decode=460800 bytes, type=P, timestamp=8.280 seconds
frame #266: size before decode=1167 bytes, size after decode=460800 bytes, type=P, timestamp=8.320 seconds
frame #267: size before decode=1164 bytes, size after decode=460800 bytes, type=P, timestamp=8.360 seconds
frame #268: size before decode=1198 bytes, size after decode=460800 bytes, type=P, timestamp=8.400 seconds
frame #269: size before decode=1240 bytes, size after decode=460800 bytes, type=P, timestamp=8.440 seconds
frame #270: size before decode=1335 bytes, size after decode=460800 bytes, type=P, timestamp=8.480 seconds
frame #271: size before decode=1350 bytes, size after decode=460800 bytes, type=P, timestamp=8.520 seconds
frame #272: size before decode=1440 bytes, size after decode=460800 bytes, type=P, timestamp=8.560 seconds
frame #273: size before decode=1573 bytes, size after decode=460800 bytes, type=P, timestamp=8.600 seconds
frame #274: size before decode=1637 bytes, size after decode=460800 bytes, type=P, timestamp=8.640 seconds
frame #275: size before decode=1510 bytes, size after decode=460800 bytes, type=P, timestamp=8.680 seconds
frame #276: size before decode=1214 bytes, size after decode=460800 bytes, type=P, timestamp=8.720 seconds
frame #277: size before decode=1138 bytes, size after decode=460800 bytes, type=P, timestamp=8.760 seconds
frame #278: size before decode=1053 bytes, size after decode=460800 bytes, type=P, timestamp=8.800 seconds
frame #279: size before decode=958 bytes, size after decode=460800 bytes, type=P, timestamp=8.840 seconds
frame #280: size before decode=946 bytes, size after decode=460800 bytes, type=P, timestamp=8.880 seconds
frame #281: size before decode=995 bytes, size after decode=460800 bytes, type=P, timestamp=8.920 seconds
frame #282: size before decode=968 bytes, size after decode=460800 bytes, type=P, timestamp=8.960 seconds
frame #283: size before decode=118 bytes, size after decode=460800 bytes, type=P, timestamp=9.000 seconds
